Vertices,Time (ms)
100,0.364
200,0.342
300,0.315
400,0.328
500,0.302
600,0.326
700,0.344
800,0.432
900,0.342
1000,0.321
1100,0.390
1200,0.384
1300,0.489
1400,0.563
1500,0.668
1600,0.721
1700,0.826
1800,0.909
1900,1.009
2000,1.124
2100,1.266
2200,1.371
2300,1.506
2400,1.655
2500,1.820
2600,1.951
2700,2.111
2800,2.280
2900,2.455
3000,2.770
3100,2.969
3200,3.025
3300,3.384
3400,3.477
3500,3.664
3600,4.055
3700,4.105
3800,4.457
3900,4.606
4000,5.026
4100,5.331
4200,5.608
4300,5.896
4400,6.140
4500,6.451
4600,6.734
4700,7.041
4800,7.411
4900,7.737
5000,8.065
