Vertices,Time (ms)
100,1.555
200,4.057
300,7.309
400,12.814
500,19.227
600,26.976
700,35.857
800,46.073
900,57.368
1000,69.449
1100,83.525
1200,110.756
1300,170.133
1400,252.201
1500,353.101
1600,477.129
1700,625.683
1800,801.925
1900,1003.809
2000,1227.857
2100,1490.226
2200,1783.704
2300,2107.853
2400,2469.474
2500,2868.976
2600,3302.254
2700,3782.785
2800,4313.190
2900,4874.179
3000,5487.451
3100,6140.281
3200,6851.983
3300,7640.143
3400,8444.236
3500,9294.377
3600,10230.489
3700,11204.419
3800,12258.970
3900,13359.024
4000,14522.734
4100,15772.076
4200,17079.354
4300,18459.053
4400,19894.750
4500,21420.146
4600,23003.229
4700,24682.242
4800,26459.871
4900,28278.744
5000,30179.838
